persona_id,model,w1_norm,w1_boot_mean,w1_boot_sd,w1_ci_lower,w1_ci_upper,country,sex,age_group,education
USA_Female_18-29_Higher,bielik_lora,0.2820782956666667,0.28195677605066205,0.013585743618485887,0.2550201496833621,0.3091364421416235,USA,Female,18-29,Higher
USA_Female_18-29_Higher,qwen_lora,0.3490385718888889,0.3488635578583765,0.012933064728683571,0.3237075417386298,0.37495970063327577,USA,Female,18-29,Higher
USA_Female_18-29_Medium,bielik_lora,0.2772659171111111,0.27755757802746567,0.014931688189052342,0.24792009987515606,0.3059956304619226,USA,Female,18-29,Medium
USA_Female_18-29_Medium,qwen_lora,0.297852684,0.2976342072409488,0.012549513124469166,0.27286828963795257,0.32157303370786516,USA,Female,18-29,Medium
USA_Female_30-49_Higher,bielik_lora,0.2973803072222222,0.29756549232158985,0.009505320874705039,0.2788617886178862,0.3154471544715447,USA,Female,30-49,Higher
USA_Female_30-49_Higher,qwen_lora,0.33229448966666664,0.33207949412827464,0.011697639783756372,0.3101513098464318,0.3539972899728997,USA,Female,30-49,Higher
USA_Female_30-49_Lower,bielik_lora,0.2997435896666667,0.3027490598290598,0.0350102398313563,0.23136752136752137,0.36811965811965813,USA,Female,30-49,Lower
USA_Female_30-49_Lower,qwen_lora,0.3111965812222222,0.3148591452991453,0.05005322582251004,0.22551282051282054,0.4238461538461538,USA,Female,30-49,Lower
USA_Female_30-49_Medium,bielik_lora,0.26564315355555557,0.26700899953895807,0.011666240880006439,0.24545873674504382,0.29007837713231904,USA,Female,30-49,Medium
USA_Female_30-49_Medium,qwen_lora,0.2921115722222222,0.2919981558321807,0.010249095073852549,0.27181420009220836,0.3119363762102351,USA,Female,30-49,Medium
USA_Female_50-64_Higher,bielik_lora,0.29447154444444446,0.2949836856368564,0.01965008246920244,0.25653116531165315,0.3324119241192412,USA,Female,50-64,Higher
USA_Female_50-64_Higher,qwen_lora,0.3197831977777778,0.3197967479674797,0.018059719900773652,0.2845528455284553,0.3523035230352304,USA,Female,50-64,Higher
USA_Female_50-64_Medium,bielik_lora,0.285483613,0.28587210231814547,0.01099145046964993,0.26390087929656275,0.3078657074340528,USA,Female,50-64,Medium
USA_Female_50-64_Medium,qwen_lora,0.241358913,0.2414052757793765,0.011770524753821452,0.2181574740207834,0.26454036770583533,USA,Female,50-64,Medium
USA_Female_65+_Higher,bielik_lora,0.2293650792222222,0.23025767195767197,0.02750182991003368,0.17867724867724868,0.2875661375661376,USA,Female,65+,Higher
USA_Female_65+_Higher,qwen_lora,0.23280423299999997,0.23373015873015873,0.03451379405330128,0.17460317460317462,0.31216931216931215,USA,Female,65+,Higher
USA_Female_65+_Medium,bielik_lora,0.23441441422222223,0.23404696696696697,0.01354870440774243,0.20738738738738738,0.25847597597597594,USA,Female,65+,Medium
USA_Female_65+_Medium,qwen_lora,0.15627627644444445,0.15617567567567567,0.019037313907610695,0.12174174174174175,0.19531531531531532,USA,Female,65+,Medium
USA_Male_18-29_Higher,bielik_lora,0.27570127555555557,0.2751819672131148,0.015019658373856921,0.24473588342440802,0.3039344262295082,USA,Male,18-29,Higher
USA_Male_18-29_Higher,qwen_lora,0.3603642991111111,0.3605218579234973,0.01638723890474616,0.32757741347905284,0.39132969034608384,USA,Male,18-29,Higher
USA_Male_18-29_Medium,bielik_lora,0.28692307733333333,0.28648217948717947,0.01830623811713472,0.25059829059829064,0.32220619658119654,USA,Male,18-29,Medium
USA_Male_18-29_Medium,qwen_lora,0.3281196584444444,0.32778846153846153,0.016909879437456712,0.2939049145299145,0.36017094017094015,USA,Male,18-29,Medium
USA_Male_30-49_Higher,bielik_lora,0.28994740288888887,0.29013510848126234,0.011707606352754522,0.2685716633793556,0.3123093359631821,USA,Male,30-49,Higher
USA_Male_30-49_Higher,qwen_lora,0.32439184733333337,0.32435798816568046,0.011708878709165113,0.3020299145299145,0.348068704799474,USA,Male,30-49,Higher
USA_Male_30-49_Medium,bielik_lora,0.28900584766666665,0.2880225730994152,0.011915447298811686,0.26384502923976605,0.3100730994152046,USA,Male,30-49,Medium
USA_Male_30-49_Medium,qwen_lora,0.32789473655555557,0.3275923976608187,0.011879471268259698,0.30274853801169593,0.349546783625731,USA,Male,30-49,Medium
USA_Male_50-64_Higher,bielik_lora,0.2903106332222222,0.29020520908004777,0.014053967595489427,0.264026284348865,0.31719235364396653,USA,Male,50-64,Higher
USA_Male_50-64_Higher,qwen_lora,0.35253285544444446,0.35278673835125446,0.013435631947851308,0.32621863799283146,0.37941457586618876,USA,Male,50-64,Higher
USA_Male_50-64_Medium,bielik_lora,0.2602777777777778,0.25974027777777775,0.012506735709770154,0.23458333333333334,0.2845833333333333,USA,Male,50-64,Medium
USA_Male_50-64_Medium,qwen_lora,0.2791666666666667,0.2793333333333333,0.013974896360397076,0.25276041666666665,0.3090277777777778,USA,Male,50-64,Medium
USA_Male_65+_Higher,bielik_lora,0.2762082362222222,0.28106456876456876,0.01837401944003543,0.24590520590520593,0.31762237762237766,USA,Male,65+,Higher
USA_Male_65+_Higher,qwen_lora,0.33566433577777777,0.33544910644910647,0.020365029157260666,0.29524087024087026,0.3737567987567988,USA,Male,65+,Higher
USA_Male_65+_Medium,bielik_lora,0.27237373766666667,0.2719090909090909,0.016136438025720564,0.24080808080808083,0.30520202020202025,USA,Male,65+,Medium
USA_Male_65+_Medium,qwen_lora,0.26984848455555555,0.2714722222222222,0.02920755887930584,0.21303030303030301,0.3317171717171717,USA,Male,65+,Medium
