persona_id,model,base_model,country,sex,age_group,education,base_w1,post_w1_norm,delta_w1,pct_change,base_ci_lower,base_ci_upper,post_w1_ci_lower,post_w1_ci_upper
SVK_Female_50-64_Higher,bielik_lora,bielik,SVK,Female,50-64,Higher,0.21222222222222223,0.20777777777777776,-0.004444444444444473,-2.0942408376963484,0.14555555555555555,0.2872222222222222,0.1577777777777778,0.26
SVK_Female_50-64_Higher,qwen_lora,qwen,SVK,Female,50-64,Higher,0.20777777777777776,0.2544444444444445,0.04666666666666672,22.459893048128368,0.14222222222222222,0.28833333333333333,0.185,0.32673611111111106
SVK_Female_50-64_Lower,bielik_lora,bielik,SVK,Female,50-64,Lower,0.2174863383333333,0.20624772277777778,-0.011238615555555526,-5.167504148389548,0.15551001821493626,0.2867030965391621,0.1697941712204007,0.2518306010928961
SVK_Female_50-64_Lower,qwen_lora,qwen,SVK,Female,50-64,Lower,0.2604735878888889,0.284153005,0.0236794171111111,9.090909102542907,0.2058287795992714,0.3188069216757741,0.2185792349726776,0.34977231329690345
SVK_Female_50-64_Medium,bielik_lora,bielik,SVK,Female,50-64,Medium,0.21212121211111112,0.20333333322222222,-0.008787878888888906,-4.142857190673477,0.1654040404040404,0.26013257575757576,0.1717361111111111,0.23742424242424243
SVK_Female_50-64_Medium,qwen_lora,qwen,SVK,Female,50-64,Medium,0.23989898988888891,0.23878787877777777,-0.001111111111111146,-0.46315789475635794,0.19823232323232323,0.28538510101010095,0.19456439393939393,0.2867992424242424
SVK_Female_65+_Higher,bielik_lora,bielik,SVK,Female,65+,Higher,0.2736111111111111,0.24805555555555556,-0.025555555555555526,-9.34010152284263,0.13472222222222224,0.4408333333333333,0.16472222222222221,0.35944444444444446
SVK_Female_65+_Higher,qwen_lora,qwen,SVK,Female,65+,Higher,0.2802777777777778,0.29916666666666664,0.018888888888888844,6.739345887016832,0.1275,0.4261111111111111,0.16027777777777777,0.445
SVK_Female_65+_Lower,bielik_lora,bielik,SVK,Female,65+,Lower,0.17332138533333333,0.15044205466666666,-0.02287933066666667,-13.200523768411454,0.12430704898446836,0.2223357228195938,0.12413381123058542,0.18034050179211467
SVK_Female_65+_Lower,qwen_lora,qwen,SVK,Female,65+,Lower,0.18040621222222225,0.18040621222222222,-2.7755575615628914e-17,-1.538504426967289e-14,0.14575866188769415,0.22344683393070489,0.14692353643966546,0.22102747909199522
SVK_Female_65+_Medium,bielik_lora,bielik,SVK,Female,65+,Medium,0.188125,0.21437499999999998,0.026249999999999996,13.953488372093023,0.12041666666666669,0.26972222222222225,0.18312499999999998,0.2473611111111111
SVK_Female_65+_Medium,qwen_lora,qwen,SVK,Female,65+,Medium,0.21354166666666663,0.21354166666666666,2.7755575615628914e-17,1.2997732971221347e-14,0.1648871527777778,0.2760416666666667,0.1597222222222222,0.2760416666666667
SVK_Male_18-29_Higher,bielik_lora,bielik,SVK,Male,18-29,Higher,0.30444444444444446,0.29444444444444445,-0.010000000000000009,-3.284671532846718,0.20444444444444448,0.4044444444444445,0.21666666666666665,0.40555555555555556
SVK_Male_18-29_Higher,qwen_lora,qwen,SVK,Male,18-29,Higher,0.36666666666666664,0.2611111111111111,-0.10555555555555551,-28.78787878787878,0.2888888888888889,0.4669444444444442,0.11666666666666667,0.4277777777777778
SVK_Male_18-29_Lower,bielik_lora,bielik,SVK,Male,18-29,Lower,0.2470760231111111,0.17742690022222224,-0.06964912288888886,-28.189349177587893,0.1710526315789474,0.3172514619883041,0.11854093567251461,0.2709941520467837
SVK_Male_18-29_Lower,qwen_lora,qwen,SVK,Male,18-29,Lower,0.28654970755555553,0.29970760244444444,0.01315789488888891,4.591836788504797,0.19883040935672516,0.38011695906432746,0.18859649122807015,0.4051169590643274
SVK_Male_18-29_Medium,bielik_lora,bielik,SVK,Male,18-29,Medium,0.23435897466666664,0.1865811968888889,-0.047777777777777725,-20.3865791125486,0.1617094017094017,0.307008547008547,0.12247863247863247,0.2592307692307692
SVK_Male_18-29_Medium,qwen_lora,qwen,SVK,Male,18-29,Medium,0.21888888933333336,0.327948718,0.10905982866666661,49.82428710695573,0.1676068376068376,0.2811111111111111,0.23393162393162395,0.4262393162393162
SVK_Male_30-49_Higher,bielik_lora,bielik,SVK,Male,30-49,Higher,0.240840108,0.26065040600000006,0.01981029800000006,8.225497889246943,0.18934959349593497,0.29504065040650407,0.2010840108401084,0.3338211382113821
SVK_Male_30-49_Higher,qwen_lora,qwen,SVK,Male,30-49,Higher,0.34417344133333333,0.3224932248888889,-0.021680216444444456,-6.2992125018290075,0.2845528455284553,0.4010840108401083,0.2574525745257452,0.3875338753387534
SVK_Male_30-49_Lower,bielik_lora,bielik,SVK,Male,30-49,Lower,0.3089972901111111,0.20365853588888888,-0.10533875422222222,-34.090510691645186,0.2366937669376694,0.3876558265582655,0.1517723577235772,0.25785907859078594
SVK_Male_30-49_Lower,qwen_lora,qwen,SVK,Male,30-49,Lower,0.33333333299999995,0.39455284566666665,0.0612195126666667,18.365853818365867,0.26822493224932253,0.40379403794037944,0.3104742547425475,0.47314363143631444
SVK_Male_30-49_Medium,bielik_lora,bielik,SVK,Male,30-49,Medium,0.26091030788888886,0.21835341366666666,-0.0425568942222222,-16.31092867375154,0.21539491298527444,0.30910307898259703,0.18488487282463184,0.25980053547523424
SVK_Male_30-49_Medium,qwen_lora,qwen,SVK,Male,30-49,Medium,0.3386880856666667,0.3386880856666667,0,0,0.29049531459170014,0.3869477911646586,0.2918340026773762,0.3868808567603748
SVK_Male_50-64_Higher,bielik_lora,bielik,SVK,Male,50-64,Higher,0.28919191955555557,0.19686868733333332,-0.09232323222222225,-31.924554587869935,0.19314141414141417,0.38656565656565656,0.1413131313131313,0.2827272727272727
SVK_Male_50-64_Higher,qwen_lora,qwen,SVK,Male,50-64,Higher,0.3080808084444444,0.3020202022222222,-0.006060606222222209,-1.9672131648911542,0.2121212121212121,0.40909090909090906,0.19595959595959597,0.4080808080808081
SVK_Male_50-64_Lower,bielik_lora,bielik,SVK,Male,50-64,Lower,0.2471527777777778,0.16979166666666667,-0.07736111111111113,-31.300927226749092,0.19849826388888892,0.30270833333333336,0.13331597222222227,0.2090451388888889
SVK_Male_50-64_Lower,qwen_lora,qwen,SVK,Male,50-64,Lower,0.2760416666666667,0.3179861111111111,0.041944444444444395,15.194968553459102,0.22395833333333337,0.3263888888888889,0.25722222222222224,0.3823090277777777
SVK_Male_50-64_Medium,bielik_lora,bielik,SVK,Male,50-64,Medium,0.20799283166666663,0.16354838699999996,-0.044444444666666666,-21.36825789164417,0.1613978494623656,0.2737007168458781,0.12409677419354838,0.20655913978494622
